"","week","state","incidence","inc_factor"
"116",2020-03-15,"Kansas",0.343251705789352,"0-1"
"117",2020-03-15,"Kentucky",0.671490505236171,"0-1"
"118",2020-03-15,"Louisiana",4.30219106288642,"1-5"
"119",2020-03-15,"Maine",0,"0"
"120",2020-03-15,"Maryland",0.661629461036641,"0-1"
"121",2020-03-15,"Massachusetts",1.01559622099548,"1-5"
"122",2020-03-15,"Michigan",2.40315847117867,"1-5"
"123",2020-03-15,"Minnesota",0.177316534128468,"0-1"
"124",2020-03-15,"Mississippi",18.4802575408691,"10-25"
"125",2020-03-15,"Missouri",0.488804104911699,"0-1"
"126",2020-03-15,"Montana",0,"0"
"127",2020-03-15,"Nebraska",0,"0"
"128",2020-03-15,"Nevada",0.649317761827648,"0-1"
"129",2020-03-15,"New Hampshire",0,"0"
"130",2020-03-15,"New Jersey",1.68877270132704,"1-5"
"131",2020-03-15,"New Mexico",0,"0"
"132",2020-03-15,"New York",1.07949387775328,"1-5"
"133",2020-03-15,"North Carolina",0,"0"
"134",2020-03-15,"North Dakota",0,"0"
"135",2020-03-15,"Ohio",0.256649357093361,"0-1"
"136",2020-03-15,"Oklahoma",1.51631134016398,"1-5"
"137",2020-03-15,"Oregon",0.948375870757233,"0-1"
"138",2020-03-15,"Pennsylvania",0.156225723987109,"0-1"
"139",2020-03-15,"Rhode Island",0.943965277181244,"0-1"
"140",2020-03-15,"South Carolina",0.582669769577413,"0-1"
"141",2020-03-15,"South Dakota",0,"0"
"142",2020-03-15,"Tennessee",0.146430593216691,"0-1"
"143",2020-03-15,"Texas",0.379364227629435,"0-1"
"144",2020-03-15,"Utah",0,"0"
"145",2020-03-15,"Vermont",3.20518470678169,"1-5"
"146",2020-03-15,"Virginia",0.234314984244075,"0-1"
"147",2020-03-15,"Washington",7.09136687803755,"1-10"
"148",2020-03-15,"West Virginia",0,"0"
"149",2020-03-15,"Wisconsin",0.686997911869847,"0-1"
"150",2020-03-15,"Wyoming",0,"0"
"151",2020-03-22,"Alabama",4.69082851248729,"1-5"
"152",2020-03-22,"Alaska",4.10090971847255,"1-5"
"153",2020-03-22,"Arizona",1.92341589870852,"1-5"
"154",2020-03-22,"Arkansas",1.65683390969062,"1-5"
"155",2020-03-22,"California",2.96110902188419,"1-5"
"156",2020-03-22,"Colorado",6.77231948121949,"1-10"
"157",2020-03-22,"Connecticut",7.85350520168503,"1-10"
"158",2020-03-22,"Delaware",5.13471436610924,"1-10"
"159",2020-03-22,"Florida",2.04863296351939,"1-5"
"160",2020-03-22,"Georgia",5.55690396812861,"1-10"
"161",2020-03-22,"Hawaii",0,"0"
"162",2020-03-22,"Idaho",2.79788368078386,"1-5"
"163",2020-03-22,"Illinois",3.23552550182014,"1-5"
"164",2020-03-22,"Indiana",5.79303792701931,"1-10"
"165",2020-03-22,"Iowa",0.950850535804277,"0-1"
"166",2020-03-22,"Kansas",1.02975511736806,"1-5"
"167",2020-03-22,"Kentucky",1.34298101047234,"1-5"
"168",2020-03-22,"Louisiana",25.1678177178855,"25-50"
"169",2020-03-22,"Maine",0.743930272903381,"0-1"
"170",2020-03-22,"Maryland",2.31570311362824,"1-5"
"171",2020-03-22,"Massachusetts",9.57562151224309,"1-10"
"172",2020-03-22,"Michigan",26.2344799770338,"25-50"
"173",2020-03-22,"Minnesota",0.709266136513872,"0-1"
"174",2020-03-22,"Mississippi",14.448201350134,"10-25"
"175",2020-03-22,"Missouri",2.76988992783296,"1-5"
"176",2020-03-22,"Montana",0.935648001736563,"0-1"
"177",2020-03-22,"Nebraska",1.03390804835381,"1-5"
"178",2020-03-22,"Nevada",8.76578978467324,"1-10"
"179",2020-03-22,"New Hampshire",1.47090080171448,"1-5"
"180",2020-03-22,"New Jersey",13.9605209976368,"10-25"
"181",2020-03-22,"New Mexico",0.953821222426817,"0-1"
"182",2020-03-22,"New York",4.42078445175153,"1-5"
"183",2020-03-22,"North Carolina",0.476731498336588,"0-1"
"184",2020-03-22,"North Dakota",1.31222918870118,"1-5"
"185",2020-03-22,"Ohio",1.88209528535131,"1-5"
"186",2020-03-22,"Oklahoma",4.04349690710394,"1-5"
"187",2020-03-22,"Oregon",2.13384570920377,"1-5"
"188",2020-03-22,"Pennsylvania",2.49961158379374,"1-5"
"189",2020-03-22,"Rhode Island",2.83189583154373,"1-5"
"190",2020-03-22,"South Carolina",2.71912559136126,"1-5"
"191",2020-03-22,"South Dakota",0,"0"
"192",2020-03-22,"Tennessee",1.6107365253836,"1-5"
"193",2020-03-22,"Texas",1.6209198816894,"1-5"
"194",2020-03-22,"Utah",0.623838490710109,"0-1"
"195",2020-03-22,"Vermont",16.0259235339085,"10-25"
"196",2020-03-22,"Virginia",1.75736238183056,"1-5"
"197",2020-03-22,"Washington",12.475552840992,"10-25"
"198",2020-03-22,"West Virginia",0,"0"
"199",2020-03-22,"Wisconsin",1.54574530170716,"1-5"
