,submission_date,state,new_death,week
2863,2021-03-01,Delaware,0.0,53
2864,2021-05-04,South Carolina,7.0,62
2865,2021-04-04,South Carolina,15.0,58
2867,2020-12-29,Idaho,16.0,44
2868,2020-05-22,Wisconsin,9.0,12
2870,2021-02-06,Wisconsin,36.0,49
2871,2020-12-11,North Dakota,22.0,41
2872,2020-10-08,Nevada,14.0,32
2873,2021-03-31,Missouri,10.0,57
2874,2020-09-17,Virginia,29.0,29
2876,2020-07-26,Maine,0.0,22
2877,2021-02-02,North Carolina,87.0,49
2878,2020-06-16,New Hampshire,6.0,16
2879,2020-11-17,Maine,4.0,38
2880,2020-11-16,North Dakota,26.0,38
2881,2020-09-29,Mississippi,7.0,31
2885,2020-07-07,Minnesota,0.0,19
2886,2020-09-05,Washington,0.0,27
2887,2020-10-15,Alabama,19.0,33
2888,2020-10-26,Idaho,7.0,35
2889,2020-07-24,California,138.0,21
2890,2021-01-15,Idaho,0.0,46
2891,2021-05-30,Indiana,8.0,66
2893,2020-10-25,Montana,3.0,35
2894,2020-10-07,Washington,12.0,32
2895,2020-04-28,Nevada,19.0,9
2897,2021-01-02,New Hampshire,11.0,44
2898,2020-12-02,Virginia,34.0,40
2899,2020-03-03,Virginia,0.0,1
2900,2020-07-01,Indiana,10.0,18
2901,2020-09-13,Alabama,31.0,29
2902,2020-05-27,Idaho,1.0,13
2903,2021-05-01,North Dakota,0.0,61
2904,2020-09-04,Montana,3.0,27
2905,2021-04-06,Maryland,16.0,58
2906,2021-06-06,Rhode Island,0.0,67
2907,2020-09-09,Minnesota,15.0,28
2908,2021-03-22,Arizona,0.0,56
2909,2021-05-29,Nebraska,0.0,65
2912,2020-11-12,Delaware,8.0,37
2913,2021-04-22,Washington,6.0,60
2914,2021-03-31,Vermont,2.0,57
2915,2020-05-04,Alabama,19.0,10
2916,2020-06-29,Kentucky,2.0,18
2917,2021-02-17,Idaho,11.0,51
2918,2020-06-27,Montana,0.0,17
2919,2020-12-15,California,353.0,42
2920,2021-03-02,Montana,15.0,53
2921,2020-11-12,California,59.0,37
2922,2020-11-11,Connecticut,9.0,37
2924,2020-07-11,Connecticut,0.0,19
2925,2021-01-05,New Jersey,138.0,45
2926,2020-09-13,Oregon,4.0,29
2928,2020-07-01,Virginia,23.0,18
2929,2021-05-19,Delaware,1.0,64
2930,2020-04-02,Washington,15.0,5
2932,2020-05-08,Washington,14.0,10
2933,2021-01-16,Mississippi,40.0,46
2935,2021-03-02,Arizona,81.0,53
2936,2020-10-17,Delaware,2.0,33
2937,2020-11-21,Maryland,37.0,38
2938,2020-04-28,Connecticut,77.0,9
2939,2020-12-04,New Hampshire,8.0,40
2940,2020-09-23,Alabama,20.0,30
2941,2020-04-13,Maryland,49.0,7
2942,2020-10-09,Kentucky,8.0,32
2943,2021-02-05,Louisiana,32.0,49
2944,2021-03-10,Louisiana,43.0,54
2945,2020-05-08,Kentucky,4.0,10
2946,2020-07-13,Louisiana,7.0,20
2947,2021-01-08,Nebraska,,45
2948,2020-12-09,Arizona,108.0,41
2951,2020-06-14,Maine,1.0,16
2952,2020-06-07,Vermont,0.0,15
2953,2021-05-27,Vermont,0.0,65
2954,2020-04-16,Montana,1.0,7
2956,2020-07-12,South Carolina,27.0,20
2959,2020-05-08,Minnesota,0.0,10
2960,2020-07-15,Idaho,7.0,20
2961,2021-05-09,North Carolina,14.0,63
2962,2020-10-09,Michigan,18.0,32
2964,2020-06-13,Nevada,19.0,15
2965,2021-04-06,Montana,11.0,58
2967,2021-03-11,Louisiana,16.0,54
2968,2020-07-15,Washington,17.0,20
2970,2020-09-06,Louisiana,58.0,28
2971,2020-06-26,Nebraska,6.0,17
2972,2020-12-17,Louisiana,31.0,42
2973,2020-09-14,New Jersey,3.0,29
2974,2020-10-24,Wyoming,0.0,34
2975,2020-05-18,North Carolina,15.0,12
2976,2020-11-18,South Carolina,26.0,38
2977,2020-12-08,North Dakota,16.0,41
2978,2020-08-25,Montana,0.0,26
2979,2021-02-27,Mississippi,1.0,52
2980,2020-08-01,Vermont,0.0,22
2981,2021-04-18,Oregon,0.0,60
2982,2020-08-07,Rhode Island,2.0,23
2983,2021-03-28,North Carolina,12.0,57
2988,2021-02-06,Alabama,42.0,49
2989,2021-04-29,Montana,3.0,61
2990,2020-05-06,Maryland,44.0,10
2991,2020-06-09,New Hampshire,8.0,15
2994,2021-03-07,Nevada,1.0,54
2995,2021-02-11,Rhode Island,11.0,50
2996,2021-03-23,Michigan,24.0,56
2997,2021-03-14,California,76.0,55
2998,2020-07-23,Nebraska,5.0,21
2999,2020-05-15,Oregon,0.0,11
3000,2021-03-30,Montana,1.0,57
3001,2020-12-17,Maryland,45.0,42
3002,2021-01-10,Maryland,36.0,46
3003,2020-09-18,Indiana,15.0,29
3004,2020-09-17,Alabama,19.0,29
3006,2020-12-16,Illinois,190.0,42
3007,2021-02-10,Idaho,11.0,50
3008,2020-06-24,Nebraska,1.0,17
3009,2020-10-09,Washington,7.0,32
3010,2021-04-29,Kentucky,10.0,61
3012,2020-12-14,Rhode Island,15.0,42
3013,2020-07-01,Arizona,88.0,18
3014,2020-05-07,Illinois,137.0,10
3016,2020-09-26,Kentucky,5.0,30
3017,2020-12-23,Mississippi,35.0,43
3018,2020-04-24,Rhode Island,15.0,8
3019,2020-08-06,Nebraska,5.0,23
3020,2020-05-24,Rhode Island,8.0,13
3021,2020-08-12,Vermont,0.0,24
3022,2020-03-12,Delaware,0.0,2
3024,2021-02-25,Nevada,14.0,52
3025,2021-02-04,Oregon,0.0,49
3026,2020-12-09,Oregon,30.0,41
3027,2021-04-23,Maine,1.0,60
3028,2021-03-31,Indiana,9.0,57
3029,2020-05-08,Illinois,130.0,10
3030,2020-08-23,Virginia,28.0,26
3032,2020-12-09,Nebraska,17.0,41
3033,2020-12-12,Rhode Island,19.0,41
3034,2021-01-08,Illinois,167.0,45
3035,2020-08-23,Kentucky,9.0,26
3036,2020-03-31,Minnesota,7.0,5
3037,2021-03-01,New Jersey,21.0,53
3038,2021-02-04,Virginia,82.0,49
3039,2021-05-13,Illinois,31.0,63
3040,2020-07-06,New Hampshire,1.0,19
3041,2021-03-19,North Dakota,1.0,55
3042,2020-04-09,New Jersey,196.0,6
3043,2020-04-03,Montana,0.0,5
3044,2020-11-24,Maryland,29.0,39
3045,2020-09-13,Connecticut,0.0,29
3046,2020-06-29,Wyoming,0.0,18
3047,2020-09-14,Wisconsin,0.0,29
3048,2021-03-29,Nebraska,2.0,57
3049,2020-09-01,Missouri,24.0,27
3050,2020-10-11,Delaware,0.0,33
3051,2021-05-02,New Hampshire,1.0,62
3052,2020-04-07,New Jersey,229.0,6
3054,2020-04-05,Oregon,1.0,6
3055,2020-08-21,Michigan,7.0,25
3056,2020-05-07,Oregon,6.0,10
3057,2020-03-24,Maine,0.0,4
3058,2020-03-31,California,29.0,5
3059,2020-11-24,Nebraska,16.0,39
3060,2021-02-15,Arizona,0.0,51
3061,2020-08-08,Kentucky,8.0,23
3062,2020-04-16,Indiana,42.0,7
3064,2020-06-24,New Hampshire,4.0,17
3067,2020-03-22,Virginia,4.0,4
3069,2020-05-04,Nevada,13.0,10
3070,2020-03-30,Alabama,9.0,5
3071,2020-05-27,Vermont,0.0,13
3072,2021-01-21,Arizona,244.0,47
3073,2020-03-24,Connecticut,2.0,4
3074,2020-09-24,Delaware,0.0,30
3075,2020-10-16,North Carolina,26.0,33
3076,2021-01-20,Missouri,38.0,47
3077,2020-10-19,Oregon,8.0,34
3080,2021-01-21,South Carolina,88.0,47
3082,2021-02-17,Maine,1.0,51
3083,2020-11-29,New Hampshire,3.0,40
3085,2020-12-12,Connecticut,0.0,41
3086,2020-12-18,New Jersey,44.0,42
3087,2021-02-11,California,328.0,50
3088,2021-02-02,North Dakota,0.0,49
3090,2021-04-27,Maine,1.0,61
3091,2020-09-16,Oregon,2.0,29
3092,2020-11-19,Mississippi,37.0,38
3093,2020-08-07,Oregon,9.0,23
3094,2020-10-09,Indiana,23.0,32
3096,2020-11-20,North Carolina,37.0,38
3098,2021-05-21,New Jersey,17.0,64
3099,2020-04-26,Missouri,21.0,9
3100,2020-10-01,Maine,0.0,31
3101,2020-11-27,Montana,,39
3102,2020-04-15,Nevada,7.0,7
3103,2020-05-26,Montana,1.0,13
3104,2021-04-17,Idaho,0.0,59
3105,2020-07-07,Illinois,37.0,19
3106,2020-11-18,Oregon,10.0,38
3107,2020-06-19,Virginia,5.0,16
3110,2020-10-04,Rhode Island,2.0,32
3111,2020-07-25,Virginia,3.0,21
3112,2021-04-15,New Hampshire,3.0,59
3113,2020-09-15,Nevada,0.0,29
3115,2021-04-03,Louisiana,0.0,57
3116,2021-03-30,Oregon,6.0,57
3117,2020-05-16,Indiana,34.0,11
3118,2021-05-19,New Jersey,32.0,64
3119,2020-07-13,Alabama,29.0,20
3123,2020-07-24,Alabama,40.0,21
3125,2021-05-11,Wyoming,2.0,63
3126,2021-02-16,Delaware,8.0,51
3128,2020-05-10,Louisiana,19.0,11
3129,2020-09-08,Louisiana,13.0,28
3131,2021-01-02,Minnesota,54.0,44
3132,2020-08-12,Idaho,0.0,24
3134,2021-04-20,California,31.0,60
3135,2020-12-11,Illinois,222.0,41
3136,2021-01-14,North Dakota,8.0,46
3137,2021-04-26,Idaho,2.0,61
3139,2020-03-26,Maine,0.0,4
3140,2021-02-07,Nevada,24.0,50
3141,2020-03-21,Nevada,0.0,3
3142,2020-10-13,Arizona,8.0,33
3143,2020-08-28,Michigan,11.0,26
3144,2021-05-17,New Hampshire,1.0,64
3146,2020-11-02,Wisconsin,3.0,36
3147,2020-10-22,Virginia,15.0,34
3149,2020-05-11,New Hampshire,0.0,11
3150,2021-05-05,Washington,11.0,62
3151,2020-09-28,Michigan,9.0,31
3153,2020-06-07,Mississippi,12.0,15
3154,2021-02-23,Oregon,7.0,52
3155,2020-12-12,Kentucky,24.0,41
3156,2021-01-20,North Dakota,13.0,47
3157,2021-02-08,Oregon,1.0,50
3158,2020-10-23,Louisiana,21.0,34
3160,2020-06-08,Maryland,24.0,15
3161,2020-12-11,Louisiana,43.0,41
3162,2020-12-07,Indiana,95.0,41
3163,2020-10-04,Kentucky,4.0,32
3165,2020-10-31,Rhode Island,3.0,35
3166,2020-10-14,Rhode Island,2.0,33
3167,2020-07-13,North Carolina,27.0,20
3168,2020-12-13,South Carolina,33.0,42
3170,2020-08-20,Oregon,4.0,25
3172,2020-07-14,Idaho,1.0,20
3174,2020-09-09,New Hampshire,0.0,28
3175,2020-09-15,Nebraska,1.0,29
3177,2020-08-18,Michigan,10.0,25
3179,2021-05-28,California,2.0,65
3180,2020-06-04,Vermont,0.0,14
3181,2021-02-25,Minnesota,7.0,52
3182,2020-04-30,Delaware,0.0,9
3183,2020-03-18,North Carolina,0.0,3
3184,2021-01-26,Nevada,59.0,48
3185,2020-05-29,Rhode Island,12.0,13
3186,2020-12-12,Louisiana,0.0,41
3188,2020-09-03,Minnesota,17.0,27
3189,2020-03-28,Mississippi,4.0,4
3190,2020-12-27,Nebraska,0.0,44
3191,2020-07-25,Mississippi,18.0,21
3192,2020-04-30,South Carolina,12.0,9
3194,2021-02-19,California,227.0,51
3197,2020-04-19,Maine,2.0,8
3199,2021-04-16,New Jersey,41.0,59
3200,2020-06-08,Missouri,4.0,15
3201,2020-04-13,Indiana,31.0,7
3202,2020-11-13,Michigan,69.0,37
3203,2020-05-23,Maine,2.0,12
3204,2020-03-22,Maryland,1.0,4
3205,2020-07-10,Wyoming,0.0,19
3207,2020-08-05,Arizona,87.0,23
3208,2020-10-17,North Carolina,29.0,33
3209,2020-07-14,California,143.0,20
3210,2021-04-24,Rhode Island,0.0,60
3211,2021-02-08,North Dakota,,50
3213,2020-04-29,Virginia,30.0,9
3214,2020-12-30,Virginia,48.0,44
3216,2020-10-23,Alabama,21.0,34
3217,2020-09-03,North Carolina,36.0,27
3218,2021-04-08,Minnesota,14.0,58
3220,2020-05-26,Wyoming,1.0,13
3221,2021-03-13,Mississippi,2.0,54
3222,2020-11-23,Indiana,82.0,39
3224,2021-04-07,Delaware,0.0,58
3225,2020-10-18,Oregon,0.0,34
3226,2020-12-28,Connecticut,113.0,44
3227,2020-10-17,Mississippi,11.0,33
3228,2020-04-23,North Dakota,1.0,8
3229,2021-05-27,New Jersey,14.0,65
3230,2020-11-09,Maine,4.0,37
3231,2020-06-26,Missouri,7.0,17
3232,2020-12-06,Minnesota,64.0,41
3233,2020-09-09,Maryland,8.0,28
3234,2020-08-01,Virginia,3.0,22
3235,2020-12-29,New Jersey,126.0,44
3237,2020-05-03,Michigan,69.0,10
3238,2020-05-02,California,74.0,9
3239,2020-08-13,Wyoming,1.0,24
3240,2020-06-06,Rhode Island,6.0,14
3241,2021-04-10,Alabama,4.0,58
3242,2020-08-15,Virginia,1.0,24
3243,2020-04-04,Arizona,11.0,5
3245,2021-06-05,South Carolina,16.0,66
3246,2020-05-17,Montana,0.0,12
3247,2021-01-30,Arizona,76.0,48
3248,2020-04-23,Vermont,3.0,8
3249,2020-07-05,Maine,2.0,19
3250,2020-12-16,Kentucky,23.0,42
3251,2021-03-25,South Carolina,10.0,56
3253,2020-04-06,Nevada,12.0,6
3254,2021-04-22,Missouri,9.0,60
3255,2020-03-26,Vermont,0.0,4
3256,2020-08-05,Idaho,7.0,23
3257,2021-06-03,Nevada,6.0,66
3258,2021-03-27,Idaho,0.0,56
3259,2021-03-13,Montana,0.0,54
3260,2021-01-17,Delaware,0.0,47
3261,2021-06-03,Idaho,4.0,66
3262,2020-12-09,Indiana,115.0,41
3263,2020-04-02,Wyoming,0.0,5
3264,2020-06-09,Kentucky,5.0,15
3265,2021-01-19,Oregon,5.0,47
3266,2020-05-11,Minnesota,13.0,11
3268,2021-01-12,Maine,4.0,46
3269,2021-02-04,New Hampshire,9.0,49
3270,2020-12-14,Indiana,90.0,42
3271,2020-03-11,Missouri,0.0,2
3272,2020-08-14,Michigan,10.0,24
3273,2020-08-07,Idaho,6.0,23
3274,2020-06-20,Minnesota,6.0,16
3275,2020-06-02,Virginia,21.0,14
3276,2020-03-07,Oregon,0.0,1
3277,2021-01-01,Connecticut,0.0,44
3278,2020-11-24,Washington,35.0,39
3279,2021-01-01,Louisiana,0.0,44
3280,2020-08-15,Delaware,0.0,24
3281,2021-04-19,Vermont,0.0,60
3282,2020-05-02,South Carolina,9.0,9
3284,2021-02-18,Wisconsin,18.0,51
3285,2020-10-15,Minnesota,,33
3286,2020-12-28,Washington,11.0,44
3287,2020-10-01,Arizona,24.0,31
3288,2020-11-18,Minnesota,67.0,38
3289,2021-02-15,Washington,0.0,51
3290,2020-09-25,Virginia,8.0,30
3292,2020-10-02,Louisiana,26.0,31
3293,2020-04-14,Nevada,10.0,7
3294,2020-03-16,Wyoming,0.0,3
3296,2020-08-15,Arizona,69.0,24
3297,2021-06-05,Montana,0.0,66
3298,2021-01-27,Nebraska,12.0,48
3299,2020-12-24,Maine,,43
3301,2020-05-29,Maine,4.0,13
3302,2020-03-01,Minnesota,0.0,1
3303,2020-06-26,Illinois,34.0,17
3305,2020-11-02,North Dakota,16.0,36
3306,2020-08-17,North Dakota,2.0,25
3307,2020-03-12,Nevada,0.0,2
3308,2020-07-14,Illinois,25.0,20
3310,2020-04-02,Indiana,25.0,5
3311,2020-08-14,Oregon,2.0,24
3312,2020-04-24,Mississippi,15.0,8
3313,2020-09-09,Virginia,11.0,28
3314,2020-04-23,Minnesota,42.0,8
3315,2020-10-30,Louisiana,11.0,35
3316,2021-04-12,Maryland,9.0,59
3317,2021-01-16,Kentucky,32.0,46
3318,2020-05-02,Wyoming,0.0,9
3319,2020-03-18,Missouri,1.0,3
3321,2020-04-14,Wisconsin,16.0,7
3322,2021-01-14,Illinois,107.0,46
3323,2020-10-19,Kentucky,9.0,34
3324,2021-01-29,Vermont,0.0,48
3326,2020-10-01,Indiana,14.0,31
3327,2020-05-15,South Carolina,5.0,11
3329,2020-06-04,Louisiana,13.0,14
3330,2020-04-23,Wisconsin,11.0,8
3332,2020-12-16,Arizona,108.0,42
3333,2020-04-29,North Carolina,15.0,9
3335,2020-11-07,Alabama,17.0,36
3338,2021-01-17,Nebraska,0.0,47
3339,2020-06-28,Rhode Island,6.0,18
3341,2020-04-04,California,53.0,5
3342,2020-05-06,Mississippi,30.0,10
3343,2021-02-13,Nevada,31.0,50
3344,2020-06-18,California,69.0,16
3346,2021-03-02,Washington,19.0,53
3347,2021-05-26,Alabama,2.0,65
3348,2020-09-18,Illinois,23.0,29
3349,2020-04-18,Mississippi,17.0,7
3350,2021-02-11,Arizona,200.0,50
3351,2021-02-15,Illinois,45.0,51
3352,2020-10-15,Rhode Island,2.0,33
3353,2021-03-18,Indiana,8.0,55
3354,2020-07-17,South Carolina,26.0,20
3355,2021-05-24,Connecticut,7.0,65
3356,2020-09-24,Kentucky,13.0,30
3357,2020-03-19,Maine,0.0,3
3358,2020-06-05,Montana,1.0,14
3359,2020-09-16,Alabama,28.0,29
3360,2020-03-19,Arizona,0.0,3
3362,2021-01-15,Wyoming,0.0,46
3363,2021-05-25,South Carolina,2.0,65
3365,2020-12-09,Connecticut,43.0,41
3366,2020-08-11,Connecticut,0.0,24
3368,2020-03-08,North Carolina,0.0,2
3369,2020-04-05,Wyoming,0.0,6
3370,2020-12-23,Nebraska,40.0,43
3371,2021-04-29,Arizona,23.0,61
3372,2020-11-02,Wyoming,0.0,36
3373,2020-11-27,Mississippi,36.0,39
3374,2020-11-11,Vermont,0.0,37
3378,2021-03-29,Louisiana,35.0,57
3379,2020-05-05,Minnesota,27.0,10
3380,2020-12-28,South Carolina,43.0,44
3381,2020-03-23,Idaho,0.0,4
3382,2020-04-07,Michigan,157.0,6
3383,2020-06-06,North Dakota,1.0,14
3385,2020-09-25,New Jersey,6.0,30
3387,2020-03-05,Illinois,0.0,1
3388,2020-12-04,Vermont,2.0,40
3389,2020-05-14,Maryland,54.0,11
3390,2020-08-12,Wyoming,0.0,24
3392,2021-03-02,Nebraska,7.0,53
3393,2020-05-05,Arizona,33.0,10
3394,2020-09-02,Nebraska,0.0,27
3395,2020-12-06,Oregon,6.0,41
3396,2020-12-19,North Dakota,0.0,42
3397,2021-02-16,California,235.0,51
3398,2021-01-11,Wyoming,0.0,46
3400,2020-11-01,Connecticut,0.0,36
3401,2021-03-14,Arizona,7.0,55
3402,2021-03-10,Nevada,13.0,54
3403,2021-03-15,Maine,0.0,55
3404,2020-08-19,Rhode Island,0.0,25
3405,2021-01-15,Mississippi,40.0,46
3406,2020-05-09,Washington,16.0,10
3408,2021-05-21,Delaware,2.0,64
3409,2020-12-30,Nevada,47.0,44
3410,2021-06-04,Nevada,1.0,66
3411,2020-05-03,Oregon,0.0,10
3414,2021-01-30,Alabama,66.0,48
3415,2020-08-09,California,136.0,24
3416,2020-10-02,Nevada,6.0,31
3417,2021-04-18,Wisconsin,,60
3418,2020-11-09,New Hampshire,0.0,37
3419,2020-11-11,New Hampshire,3.0,37
3420,2021-02-17,Mississippi,12.0,51
3422,2020-06-06,Montana,0.0,14
3423,2020-09-09,Nevada,21.0,28
3426,2020-04-14,Maine,1.0,7
3427,2020-11-05,Michigan,53.0,36
3428,2020-10-06,Alabama,20.0,32
3429,2021-05-14,Virginia,17.0,63
3430,2021-05-14,Illinois,54.0,63
3431,2021-02-25,Wyoming,0.0,52
3432,2021-03-03,Mississippi,9.0,53
3434,2020-04-19,Vermont,0.0,8
3435,2020-07-25,Wyoming,0.0,21
3436,2020-03-19,Illinois,3.0,3
3438,2020-11-05,Vermont,0.0,36
3439,2020-10-18,North Carolina,35.0,34
3440,2020-05-25,Indiana,16.0,13
3441,2020-12-25,Idaho,0.0,43
3442,2020-11-18,Nebraska,10.0,38
3443,2020-03-10,Nevada,0.0,2
3444,2020-05-23,North Dakota,0.0,12
3445,2020-05-07,Alabama,9.0,10
3446,2020-10-30,Maine,1.0,35
3447,2021-03-02,Michigan,19.0,53
3448,2020-10-30,California,53.0,35
3449,2020-12-25,Nebraska,,43
3450,2021-02-14,Indiana,21.0,51
3452,2020-04-03,Indiana,23.0,5
3453,2021-05-12,Virginia,27.0,63
3454,2020-10-05,Montana,4.0,32
3455,2020-06-12,Kentucky,4.0,15
3456,2020-07-29,Connecticut,2.0,22
3458,2020-09-22,Indiana,11.0,30
3459,2020-08-07,Alabama,47.0,23
3462,2020-09-25,Maine,0.0,30
3464,2021-01-08,Montana,11.0,45
3465,2020-03-02,Maine,0.0,1
3466,2020-08-20,Delaware,0.0,25
3467,2020-03-25,Minnesota,1.0,4
3468,2020-11-19,Michigan,93.0,38
3469,2020-05-16,New Hampshire,12.0,11
3471,2020-12-18,Oregon,21.0,42
3472,2020-03-16,California,3.0,3
3473,2020-04-12,Montana,0.0,7
3474,2020-11-19,Wyoming,21.0,38
3475,2020-07-18,California,123.0,20
3476,2020-11-06,Alabama,24.0,36
3479,2020-11-08,Mississippi,12.0,37
3480,2020-11-08,Maryland,9.0,37
3481,2020-04-15,Michigan,139.0,7
3482,2020-07-04,Nevada,2.0,18
3483,2021-04-09,Maine,0.0,58
3484,2020-10-12,Mississippi,18.0,33
3485,2020-08-13,Connecticut,0.0,24
3486,2020-06-18,Nebraska,6.0,16
3487,2020-11-02,Arizona,1.0,36
3491,2020-04-22,Arizona,21.0,8
3492,2021-05-23,Arizona,8.0,65
3494,2021-01-23,Wyoming,0.0,47
3495,2020-10-21,New Hampshire,1.0,34
3498,2020-08-31,Montana,1.0,27
3499,2021-05-31,Oregon,3.0,66
3500,2020-12-23,Rhode Island,10.0,43
3501,2020-11-22,Nevada,6.0,39
3502,2020-06-18,Rhode Island,7.0,16
3503,2021-03-15,Kentucky,23.0,55
3504,2020-03-10,California,3.0,2
3505,2021-02-18,Delaware,10.0,51
3506,2021-03-04,Virginia,71.0,53
3507,2021-01-06,Nevada,60.0,45
3508,2021-02-13,Delaware,13.0,50
3511,2021-02-20,New Hampshire,1.0,51
3515,2020-06-18,Minnesota,19.0,16
3516,2020-04-19,Oregon,2.0,8
3517,2021-02-20,Wyoming,0.0,51
3518,2021-05-27,Kentucky,2.0,65
3519,2020-06-08,Montana,0.0,15
3520,2020-06-14,Vermont,0.0,16
3522,2020-07-07,Idaho,0.0,19
3523,2020-09-24,Mississippi,3.0,30
3524,2020-06-29,Nevada,14.0,18
3525,2021-05-10,Michigan,61.0,63
3526,2021-01-20,Wyoming,0.0,47
3528,2021-01-12,Maryland,55.0,46
3529,2020-11-07,Virginia,3.0,36
3530,2020-04-04,North Dakota,0.0,5
3534,2020-10-02,Virginia,20.0,31
3535,2021-01-25,Indiana,56.0,48
3537,2021-04-25,Missouri,6.0,61
3538,2020-07-17,Wyoming,0.0,20
3539,2020-10-21,Montana,23.0,34
3540,2020-12-12,Oregon,12.0,41
3541,2021-02-07,Louisiana,43.0,50
3542,2020-11-21,Illinois,157.0,38
3543,2020-08-20,Virginia,9.0,25
3544,2020-11-10,Nebraska,20.0,37
3545,2020-04-18,Louisiana,54.0,7
3547,2021-05-23,Illinois,25.0,65
3549,2020-09-23,Maine,0.0,30
3551,2021-05-22,New Jersey,14.0,64
3552,2020-11-16,Mississippi,29.0,38
3555,2020-12-07,Wisconsin,21.0,41
3557,2020-08-11,Michigan,15.0,24
3558,2020-07-09,South Carolina,17.0,19
3559,2020-05-09,Oregon,3.0,10
3560,2020-07-17,Virginia,12.0,20
3562,2020-06-28,Indiana,13.0,18
3563,2020-07-23,Connecticut,4.0,21
3564,2020-06-23,Alabama,21.0,17
3565,2021-02-20,Illinois,58.0,51
3567,2020-03-27,New Jersey,27.0,4
3568,2020-09-06,Maryland,2.0,28
3569,2021-03-21,Vermont,0.0,56
3570,2020-05-16,South Carolina,7.0,11
3573,2020-07-28,Maine,0.0,22
3574,2020-12-09,Michigan,141.0,41
3575,2020-03-02,New Jersey,0.0,1
3576,2020-09-16,Washington,5.0,29
3577,2020-06-05,Nebraska,0.0,14
3579,2020-10-09,Missouri,30.0,32
3580,2021-04-25,Illinois,25.0,61
3582,2021-01-03,Michigan,84.0,45
3583,2020-11-17,Illinois,113.0,38
3584,2021-04-26,South Carolina,9.0,61
3585,2020-04-09,Wyoming,0.0,6
3587,2020-10-19,Alabama,22.0,34
3588,2020-03-09,Louisiana,0.0,2
3589,2020-09-07,Vermont,0.0,28
3590,2021-05-26,Wisconsin,5.0,65
3591,2021-03-26,New Hampshire,2.0,56
3592,2020-09-01,Wisconsin,9.0,27
3593,2020-07-28,Rhode Island,1.0,22
3594,2021-02-17,North Dakota,4.0,51
3595,2021-05-09,New Hampshire,1.0,63
3596,2021-03-20,Virginia,13.0,55
3597,2020-12-04,Illinois,157.0,40
3598,2020-08-09,Rhode Island,0.0,24
3599,2021-05-19,Wyoming,0.0,64
3600,2020-10-11,Rhode Island,6.0,33
3601,2020-03-06,Illinois,0.0,1
3602,2020-09-22,Idaho,4.0,30
3604,2020-08-01,Oregon,3.0,22
3605,2020-08-18,Delaware,2.0,25
3606,2021-04-25,Idaho,1.0,61
3608,2020-11-14,California,81.0,37
3609,2020-08-13,Delaware,0.0,24
3610,2020-05-05,Nevada,10.0,10
3611,2021-02-03,Connecticut,24.0,49
3612,2020-08-28,Wisconsin,2.0,26
3613,2020-06-10,Oregon,0.0,15
3614,2020-03-17,South Carolina,0.0,3
3615,2021-01-10,Alabama,81.0,46
3616,2021-02-13,Nebraska,0.0,50
3617,2020-07-27,Washington,17.0,22
3619,2021-03-02,Maine,2.0,53
3620,2021-03-28,Alabama,10.0,57
3621,2021-01-17,Rhode Island,8.0,47
3622,2020-07-16,New Jersey,31.0,20
3624,2021-04-06,Arizona,6.0,58
3627,2020-05-18,Connecticut,41.0,12
3628,2021-05-31,South Carolina,0.0,66
3629,2020-08-23,Oregon,0.0,26
3630,2020-03-08,Maine,0.0,2
3632,2020-08-21,New Hampshire,0.0,25
3634,2021-01-05,Delaware,10.0,45
3635,2021-01-20,Minnesota,34.0,47
3636,2020-09-16,Maryland,6.0,29
3637,2020-07-02,Nebraska,6.0,18
3638,2020-09-29,Nebraska,6.0,31
3639,2020-12-27,North Dakota,4.0,44
3640,2021-02-27,Montana,2.0,52
3641,2020-12-02,Indiana,87.0,40
3642,2021-04-04,Mississippi,2.0,58
3643,2021-04-30,Minnesota,16.0,61
3644,2020-07-20,Oregon,2.0,21
3645,2020-08-06,New Jersey,7.0,23
3646,2021-02-04,Missouri,30.0,49
3647,2020-10-27,North Dakota,12.0,35
3648,2021-01-27,New Jersey,115.0,48
3649,2021-01-04,Connecticut,69.0,45
3650,2020-08-14,New Hampshire,1.0,24
3651,2021-03-14,Louisiana,23.0,55
3652,2021-03-03,Rhode Island,3.0,53
3653,2021-02-08,Missouri,14.0,50
3654,2020-06-12,Indiana,16.0,15
3655,2020-03-18,Louisiana,3.0,3
3656,2020-12-21,Connecticut,95.0,43
3657,2020-10-16,Oregon,6.0,33
3658,2020-07-21,North Carolina,31.0,21
3659,2021-06-04,Wisconsin,31.0,66
3660,2020-05-10,Vermont,0.0,11
3661,2020-09-02,Rhode Island,2.0,27
3662,2021-03-31,New Jersey,75.0,57
3663,2020-11-05,Virginia,,36
3664,2020-05-30,Maryland,28.0,13
3665,2021-04-24,New Jersey,39.0,60
3666,2021-05-25,Nevada,4.0,65
3667,2020-11-07,Wyoming,0.0,36
3668,2021-05-14,Nevada,7.0,63
3669,2020-12-06,Delaware,11.0,41
3672,2020-10-07,Missouri,34.0,32
3673,2020-12-02,South Carolina,30.0,40
3674,2020-03-26,Arizona,2.0,4
3675,2020-04-07,Vermont,0.0,6
3677,2020-12-23,Delaware,0.0,43
3679,2020-04-15,Maine,4.0,7
3680,2020-12-23,Nevada,46.0,43
3682,2020-04-25,Louisiana,43.0,8
3683,2020-10-08,Vermont,0.0,32
